"id","title","release","starring","explanation","created_at","updated_at","director_id","category_id","image","position"
2,"Iron Man","2008","Robert D owney","かっこいいから観てね！","2020-12-16 14:31:44.470494","2020-12-23 13:03:55.017661",4,,"IronMan.jpeg",6
3,"Spider Man","2003","Tom Holland","トムがかっこいいから観てね！","2020-12-16 14:33:05.91255","2020-12-20 14:05:29.250796",7,,,11
4,"Avengers Endgame","2019","Robert D owney","泣きすぎて涙が枯れるくらい感動するから観てください。","2020-12-16 14:35:41.764692","2020-12-22 08:29:23.960319",3,,"endgame.jpg",3
5,"The Intern","2015","Robert De Niro, Anne Hathaway, Rene Russo,","Harried fashion entrepreneur Jules gets a surprise boost from Ben, a 70-year-old widower who answers an ad seeking a senior intern!","2020-12-20 13:27:09.567054","2020-12-22 08:41:59.341033",2,,"The_Intern.jpg",1
6,"Haikyu!! Genius and Sense","2017","Ayumu Murase, Kaito Ishikawa, Satoshi Hino","The Karasuno High School volleyball team faces Aoba Johsai High in the Spring High preliminaries. ","2020-12-20 13:30:09.767315","2020-12-23 13:03:54.919844",5,,"ハイキュー.jpg",7
7,"Yowamushi Pedal","2015","Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima","After Sakamichi and the Sohoku team win the Inter-High tournament, they receive an invitation to compete against their rivals in a race in Kumamoto.","2020-12-20 13:36:34.349591","2020-12-22 08:41:17.930492",6,,"弱虫ペダル.jpg",10
8,"The Lion King","2019","Donald Glover, Seth Rogen, Chiwetel Ejiofor","Simba's adventure!","2020-12-20 14:13:12.37158","2020-12-21 13:50:32.330378",4,,"ライオンキング.jpg",9
9,"The Devil Wears Prada","2003","Meryl Streep, Anne Hathaway, Emily Blunt","Anne Hathaway is the best! ","2020-12-20 14:20:23.322793","2020-12-21 14:07:22.530424",8,,"the_devil_wears_prada.jpeg",8
10," Love, Rosie","2014"," Lily Collins, Sam Claflin, Christian Cooke","Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies!","2020-12-20 14:24:11.708614","2020-12-23 13:03:34.401933",9,,"Love-Rosie.jpg",4
11,"The Kissing Booth 2","2020","Joey King, Joel Courtney, Jacob Elordi","With decisions looming, Elle juggles her long-distance romance with Noah, changing their relationship with bestie Lee and feelings for a new classmate.","2020-12-22 08:52:40.090611","2020-12-23 13:03:47.166157",10,,"The_kissing_booth_2.jpg",5
12,"I Feel Pretty","2018"," Amy Schumer, Michelle Williams, Emily Ratajkowski ","In I FEEL PRETTY a woman who struggles with feelings of deep insecurity and low self-esteem, that hold her back everyday, wakes from a brutal fall in an exercise class believing she is suddenly a supermodel. With this newfound confidence she is empowered to live her life fearlessly and flawlessly, but what will happen when she realizes her appearance never changed?","2020-12-22 11:29:20.752168","2020-12-22 11:29:20.752168",11,,"ifeelprety.jpg",2
